0.9;0.4;0.8;40.0;0.01;0.0443911883676991;0.0761227156755557;0.10283252717708
0.9;0.45;0.8;40.0;0.01;0.0481164093260401;0.0527946857918671;0.142856001360846
1.1;0.45;1.2;40.0;0.05;3.93084795647584;0.993639573393294;0.930130988470871
1.1;0.4;1.2;40.0;0.05;3.21918666749447;0.995915084735362;0.854994104016711
1.0;0.425;1.0;45.0;0.03;4.07688711582829;0.982658253301662;0.860706862452885
1.0;0.425;1.0;45.0;0.03;4.0625616334369;0.986335389485986;0.852777715396857
0.9;0.4;0.8;50.0;0.01;0.0720124234495608;0.081114292473934;0.156551795581054
0.9;0.45;0.8;50.0;0.01;0.0874840959507545;0.0651677799955119;0.210422254869087
1.1;0.45;1.2;50.0;0.05;3.78142363639141;0.995270794851949;0.893307173902948
1.1;0.4;1.2;50.0;0.05;3.08269087162893;0.989814880599755;0.823787632881352
1.1;0.4;0.8;50.0;0.05;4.08007660424932;0.86231801199788;0.834351152906289
1.1;0.45;0.8;50.0;0.05;4.83031096779965;0.844457703089836;0.896587495746127
0.9;0.45;1.2;50.0;0.01;3.54379496664439;0.933865053118857;0.8922184730007
0.9;0.4;1.2;50.0;0.01;3.28499270406652;0.895124311608523;0.970711839428525
1.0;0.425;1.0;45.0;0.03;4.07483821901457;0.993407076992749;0.850965996401698
1.1;0.4;0.8;40.0;0.05;1.78705379150516;0.439825048406312;0.71648264808816
1.1;0.45;0.8;40.0;0.05;2.43514526600041;0.467036858877512;0.817276865218177
0.9;0.45;1.2;40.0;0.01;3.62553242186439;0.897460851209615;0.949823756626949
0.9;0.4;1.2;40.0;0.01;3.05856770896612;0.89864513968013;0.900262456797316
1.1;0.4;0.8;40.0;0.01;0.0699681385336413;0.0643007066564503;0.191881270345226
1.1;0.45;0.8;40.0;0.01;0.0581498388064096;0.0330069972490038;0.276145510325806
0.9;0.45;1.2;40.0;0.05;3.50991228689682;0.924227580160809;0.892902598412257
0.9;0.4;1.2;40.0;0.05;3.04121057110495;0.940502434901791;0.855314505012933
1.0;0.425;1.0;45.0;0.03;4.02055737589892;0.976011637251986;0.854595011658839
1.1;0.4;0.8;50.0;0.01;0.120570463175426;0.0908624588308394;0.233993856474851
1.1;0.45;0.8;50.0;0.01;0.21458947915694;0.090093720594235;0.373344185389757
0.9;0.45;1.2;50.0;0.05;3.53461409761507;0.913728452044059;0.909518640840108
0.9;0.4;1.2;50.0;0.05;3.049031564967;0.913754053927024;0.882616157742669
0.9;0.4;0.8;50.0;0.05;4.43142902087969;0.899528518736704;0.868714102178279
0.9;0.45;0.8;50.0;0.05;5.17878341958552;0.880134726393533;0.922303975526518
1.1;0.45;1.2;50.0;0.01;3.77745284977611;0.982646410137988;0.903833694988684
1.1;0.4;1.2;50.0;0.01;3.25888845740284;0.959519511929196;0.898369409855066
1.0;0.425;1.0;45.0;0.03;4.18611105205991;0.911338246361311;0.952928319886093
0.9;0.4;0.8;40.0;0.05;0.393730359623324;0.164808929120319;0.421275475031881
0.9;0.45;0.8;40.0;0.05;0.726978211471111;0.178234455366531;0.639330200156856
1.1;0.45;1.2;40.0;0.01;4.04920219626234;0.979125234365964;0.972339587402194
1.1;0.4;1.2;40.0;0.01;3.41577085449181;0.970920793624054;0.930559605362218
0.9;0.4;0.8;40.0;0.01;0.066043886286129;0.110433960488231;0.105457624508451
0.9;0.45;0.8;40.0;0.01;0.0753278409246997;0.0748908088788909;0.157660350188917
1.1;0.45;1.2;40.0;0.05;4.02647095578344;0.984301761227719;0.961796198279483
1.1;0.4;1.2;40.0;0.05;3.45276213465927;0.996876575294465;0.916145682470408
1.0;0.425;1.0;45.0;0.03;4.13905395422309;0.967537816232946;0.887487458272303
0.9;0.4;0.8;50.0;0.01;0.412253855690025;0.25702883186323;0.282833530475158
0.9;0.45;0.8;50.0;0.01;1.29738824082812;0.342646297906399;0.593498194216583
1.1;0.45;1.2;50.0;0.05;4.06750373652383;0.992213996233759;0.963849794680717
1.1;0.4;1.2;50.0;0.05;3.45316562985823;0.9998990162808;0.913483145158041
