0.9;0.4;0.8;750.0;0.01;0.044391188;0.076122716;0.102832527
1.1;0.4;0.8;750.0;0.01;0.069968139;0.064300707;0.19188127
1.1;0.45;1.2;950.0;0.05;3.930847956;0.993639573;0.930130988
0.9;0.45;1.2;950.0;0.05;3.509912287;0.92422758;0.892902598
1.0;0.425;1.0;850.0;0.03;4.076887116;0.982658253;0.860706862
1.0;0.425;1.0;850.0;0.03;4.062561633;0.986335389;0.852777715
0.9;0.4;0.8;750.0;0.01;0.072012423;0.081114292;0.156551796
1.1;0.4;0.8;750.0;0.01;0.120570463;0.090862459;0.233993856
1.1;0.45;1.2;950.0;0.05;3.781423636;0.995270795;0.893307174
0.9;0.45;1.2;950.0;0.05;3.534614098;0.913728452;0.909518641
